Student_ID,Name,Attendance_Rate,Avg_Assignment_Score,LMS_Login_Frequency,Missed_Deadlines,Current_Risk_Score,Intervention_Needed,,
STU001,Umar Brown,78,96,6,7,High,Yes,,
STU002,Aiden Rodriguez,91,74,3,4,Medium,Yes,,
STU003,Hannah Davis,68,87,6,0,Medium,Yes,,
STU004,Ethan Brown,54,58,10,3,High,Yes,,
STU005,Vivian Moore,82,60,7,0,Medium,Yes,,
STU006,Caleb Jackson,47,94,10,3,High,Yes,,
STU007,Noah Johnson,60,75,0,0,Medium,Yes,,
STU008,Aiden Williams,78,63,14,5,High,Yes,,
STU009,Gabriel Davis,97,49,5,4,High,Yes,,
STU010,Quinn Martin,58,79,7,7,High,Yes,,
STU011,Aiden Moore,62,99,4,3,Medium,Yes,,
STU012,Gabriel Moore,50,43,3,7,High,Yes,,
STU013,Noah Davis,50,35,1,7,High,Yes,,
STU014,Olivia Jackson,63,42,5,7,High,Yes,,
STU015,Isaac Smith,92,97,5,6,High,Yes,,
STU016,Yusuf Garcia,75,45,10,2,High,Yes,,
STU017,Will Wilson,79,42,14,0,High,Yes,,
STU018,Kevin Rodriguez,63,69,0,7,High,Yes,,
STU019,Ethan Miller,42,69,8,0,High,Yes,,
STU020,Yusuf Hernandez,61,67,11,7,High,Yes,,
STU021,Daisy Williams,92,39,10,3,High,Yes,,
STU022,Mia Brown,41,75,5,2,High,Yes,,
STU023,Liam Lopez,63,62,12,2,Medium,Yes,,
STU024,Tyler Rodriguez,83,41,2,5,High,Yes,,
STU025,Zoe Johnson,69,46,3,6,High,Yes,,
STU026,Xara Anderson,77,68,11,5,High,Yes,,
STU027,Ryan Brown,41,67,10,5,High,Yes,,
STU028,Idara Gonzalez,99,82,3,5,High,Yes,,
STU029,Caleb Moore,60,57,2,5,High,Yes,,
STU030,Julia Martin,72,96,9,5,High,Yes,,
STU031,Olatunji Lopez,51,71,2,4,High,Yes,,
STU032,Sophia Miller,97,78,14,2,Low,No,,
STU033,Will Williams,61,69,2,5,High,Yes,,
STU034,Bella Davis,83,99,3,7,High,Yes,,
STU035,Yusuf Martinez,64,81,6,2,Medium,Yes,,
STU036,Caleb Davis,88,37,3,2,High,Yes,,
STU037,Maureen Brown,66,35,8,1,High,Yes,,
STU038,Mia Rodriguez,98,39,0,4,High,Yes,,
STU039,Olivia Lopez,81,48,7,5,High,Yes,,
STU040,Fiona Lopez,67,61,6,0,Medium,Yes,,
STU041,Liam Miller,99,43,1,3,High,Yes,,
STU042,Vivian Rodriguez,55,49,7,6,High,Yes,,
STU043,Will Williams,54,76,0,7,High,Yes,,
STU044,Tyler Garcia,86,85,10,0,Low,No,,
STU045,Ryan Davis,90,97,11,4,Medium,Yes,,
STU046,Fiona Anderson,83,86,8,3,Medium,Yes,,
STU047,Mia Rodriguez,94,38,8,4,High,Yes,,
STU048,Idara Moore,91,57,1,7,High,Yes,,
STU049,Hannah Hernandez,96,49,6,2,High,Yes,,
STU050,Ruth Johnson,42,77,14,3,High,Yes,,
STU051,Hannah Johnson,76,63,13,2,Medium,Yes,,
STU052,Zoe Hernandez,90,70,9,7,High,Yes,,
STU053,Mia Rodriguez,46,47,2,0,High,Yes,,
STU054,Caleb Miller,60,66,6,7,High,Yes,,
STU055,Idara Jackson,48,93,11,0,High,Yes,,
STU056,Olatunji Hernandez,78,62,9,3,Medium,Yes,,
STU057,Gabriel Thomas,57,76,8,3,High,Yes,,
STU058,Mia Anderson,43,79,3,5,High,Yes,,
STU059,Ethan Rodriguez,64,96,11,4,Medium,Yes,,
STU060,Ethan Davis,99,91,0,5,High,Yes,,
STU061,Xara Moore,53,40,1,4,High,Yes,,
STU062,Ryan Rodriguez,89,62,0,5,High,Yes,,
STU063,Xara Jackson,97,62,13,2,Medium,Yes,,
STU064,Noah Jackson,48,78,11,3,High,Yes,,
STU065,Mia Lopez,65,64,4,0,Medium,Yes,,
STU066,Hannah Jones,92,96,4,4,Medium,Yes,,
STU067,Quinn Thomas,41,96,10,7,High,Yes,,
STU068,Caleb Johnson,59,35,6,4,High,Yes,,
STU069,Maureen Brown,67,61,8,0,Medium,Yes,,
STU070,Ethan Garcia,86,96,8,5,High,Yes,,
STU071,Zoe Wilson,99,37,2,4,High,Yes,,
STU072,Tyler Williams,46,61,2,6,High,Yes,,
STU073,Mia Gonzalez,83,43,2,2,High,Yes,,
STU074,Tyler Anderson,47,96,3,3,High,Yes,,
STU075,Quinn Rodriguez,86,71,7,0,Low,No,,
STU076,Ryan Smith,74,85,5,3,Medium,Yes,,
STU077,Vivian Brown,53,78,7,6,High,Yes,,
STU078,Vivian Moore,56,58,0,4,High,Yes,,
STU079,Yusuf Rodriguez,75,93,7,4,Medium,Yes,,
STU080,Yusuf Hernandez,89,66,3,7,High,Yes,,
STU081,Daisy Martinez,79,86,10,6,High,Yes,,
STU082,Noah Garcia,43,96,0,0,High,Yes,,
STU083,Olivia Smith,41,92,7,7,High,Yes,,
STU084,Xara Rodriguez,45,86,3,2,High,Yes,,
STU085,Quinn Garcia,93,46,5,7,High,Yes,,
STU086,Quinn Brown,81,73,7,1,Low,No,,
STU087,Maureen Martinez,43,36,3,0,High,Yes,,
STU088,Ruth Taylor,93,37,13,1,High,Yes,,
STU089,Tyler Miller,68,90,2,6,High,Yes,,
STU090,Ethan Lopez,57,93,13,5,High,Yes,,
STU091,Yusuf Garcia,65,36,8,1,High,Yes,,
STU092,Ryan Taylor,83,36,2,2,High,Yes,,
STU093,Idara Smith,73,88,8,7,High,Yes,,
STU094,Tyler Hernandez,49,35,12,5,High,Yes,,
STU095,Peter Smith,75,53,1,7,High,Yes,,
STU096,Daisy Lopez,53,36,13,1,High,Yes,,
STU097,Olatunji Martinez,70,87,1,7,High,Yes,,
STU098,Hannah Johnson,87,78,1,6,High,Yes,,
STU099,Hannah Jackson,54,66,5,5,High,Yes,,
STU100,Caleb Williams,47,66,2,6,High,Yes,,
